"First Name","Last Name","Andrew ID","Phone Number"
"Terry","Lee","eunsunl","412-268-1078"
"Jeffrey","Eppinger","je0k","412-268-7688"
"Anna","Smith","a1smith","412-268-1234"
"Brian","Johnson","b2johns","412-268-5678"
"Catherine","Doe","c3doe","412-268-9101"
"David","Brown","d4brown","412-268-1121"
"Emma","Davis","e5davis","412-268-3141"
"Felix","Miller","f6miller","412-268-4151"
"Grace","Garcia","g7garcia","412-268-5161"
"Henry","Rodriguez","h8rod","412-268-6171"
"Irene","Martinez","i9mart","412-268-7181"
"John","Hernandez","j0hern","412-268-8191"
